File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
clustering_coefficient_imp                                          float64  205212                               0.087498                  0.0                  0.0             0.032189             0.123348                  1.0        0.136442
has_good_first_issue_imp                                             object  164696       2                                                                                                                                                        
pct_good_first_issue_imp                                            float64  177247                               0.007118                  0.0                  0.0                  0.0                  0.0                  1.0        0.037504
pull_request_merged_rate_weighted_imp                               float64  116237                               0.036903                  0.0                  0.0                  0.0                  0.0                  1.0        0.119658
pull_request_review_rate_weighted_imp                               float64   74567                               0.072074                  0.0                  0.0                  0.0                 0.05                  1.0        0.178569
any_activity_rate_weighted_imp                                      float64  112144                               0.038722                  0.0                  0.0                  0.0                  0.0                  1.0        0.122368
has_contributing_guide_imp                                          float64  189105                               0.282652                  0.0                  0.0                  0.0                  1.0                  1.0         0.45029
has_code_of_conduct_imp                                             float64  189105                               0.154338                  0.0                  0.0                  0.0                  0.0                  1.0        0.361273
proj_hhi_pull_request_review_comment                                float64  122174                               0.549485              0.01858             0.381007                  0.5             0.660399                  1.0        0.241067
proj_prob_hhi_pull_request_review_comment                           float64  122174                               0.658164               0.1616              0.52351             0.596689             0.744547                  1.0         0.18145
proj_hhi_pull_request_review_comment_imp                            float64   96701                               0.657668              0.21875                  0.5             0.591837                 0.82                  1.0        0.209816
proj_hhi_pull_request_review_imp                                    float64   71141                                0.66521             0.152893             0.494828                  0.6                  0.9                  1.0        0.224286
proj_prob_hhi_pull_request_review_comment_imp                       float64   96701                               0.757007             0.277778             0.611111             0.741541             0.928571                  1.0         0.17557
proj_prob_hhi_pull_request_review_imp                               float64   71141                               0.821147                  0.2             0.696563             0.833333                  1.0                  1.0        0.160385
response_rate_pull_request_review_comment                           float64  114838                               0.259705                  0.0             0.128669             0.272727                0.375                  1.0        0.179242
mean_days_to_respond_pull_request_review_comment                    float64   92106                               4.354955             0.000012             0.140481             0.527448             1.602971          2237.610764       34.108885
pull_request_review_comment_pos_sentiment_avg                       float64  119657                               0.104768                  0.0             0.065022             0.097554             0.129359                  1.0        0.077359
pull_request_review_comment_neg_sentiment_avg                       float64  119657                               0.036832                  0.0               0.0164             0.031847             0.045009                  1.0        0.040304
pull_request_review_comment_ov_sentiment_avg                        float64  119657                               0.080505              -0.8614               0.0337             0.077237             0.118225               0.9403         0.10394
avg_pull_request_review_comment_count                               float64  122174                                1.62068             0.000994             0.396226                  1.0                  2.0               177.75          2.4212
avg_pull_request_review_comment_exclude_opener_count                float64  117709                               1.181823              0.00087             0.310811             0.723404                  1.5                 67.0        1.629127
response_rate_pull_request_review_comment_imp                       float64   95792                               0.270145                  0.0             0.142857                0.275             0.380952                  1.0        0.189557
mean_days_to_respond_pull_request_review_comment_imp                float64   78538                               3.904098             0.000012             0.143139             0.507252             1.443135          2237.610764       33.533498
pull_request_review_comment_pos_sentiment_avg_imp                   float64  118508                               0.104834                  0.0             0.065468             0.097667             0.129333                  1.0        0.076886
pull_request_review_comment_neg_sentiment_avg_imp                   float64  118508                               0.036882                  0.0              0.01675             0.031917             0.045025                  1.0        0.040097
pull_request_review_comment_ov_sentiment_avg_imp                    float64  118508                               0.080568              -0.8614             0.034226             0.077389             0.118107               0.9403        0.103381
avg_pull_request_review_comment_count_imp                           float64   96701                                 1.4083             0.000358             0.348485                0.875             1.783113                 72.0        1.926795
avg_pull_request_review_count_imp                                   float64   71141                               1.249259             0.000978             0.428571                  1.0              1.64695                 51.0        1.312984
avg_pull_request_review_comment_exclude_opener_count_imp            float64   93566                               1.092972             0.000358             0.285714             0.666667             1.385965                 48.0        1.475949
