event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
-4,0.285336163693871,0.1779541716945679,-0.06345401282748209,0.6341263402152241,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-3,0.22157584496955512,0.1539720493279154,-0.080209371713159,0.5233610616522693,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-2,0.2784246975888382,0.14126438727801557,0.0015464985239276863,0.5553028966537488,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-1,0,0,0,0,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
0,-0.3327313120443777,0.24591578696271474,-0.8147262544912985,0.14926363040254315,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
1,-0.8227974764154161,0.26840532554099505,-1.3488719144757664,-0.29672303835506586,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
2,-0.9463286621990437,0.2971984196501749,-1.5288375647133865,-0.3638197596847008,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
3,-0.9786991953935372,0.28057090397119444,-1.5286181671770782,-0.4287802236099961,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
4,-1.151085260964614,0.29744957535001926,-1.7340864286506519,-0.5680840932785763,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
5,-1.161717865581276,0.2466222408848176,-1.6450974577155186,-0.6783382734470336,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
6,-1.1801931707483921,0.3002682516105077,-1.7687189439049873,-0.5916673975917971,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
7,-1.0342368210472042,0.5161124276233565,-2.045817179188983,-0.022656462905425334,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
