,package,github repository,license
491,googleads,googleads/googleads-python-lib,['Apache Software License']
492,pydal,web2py/pydal,['BSD License']
493,sphinxcontrib-doxylink,sphinx-contrib/doxylink,['Other/Proprietary License']
494,pheweb,statgen/pheweb,['GNU Affero General Public License v3 or later (AGPLv3+)']
495,sockjs-tornado,Unavailable,['MIT License']
496,microcosm-metrics,globality-corp/microcosm-metrics,['Unavailable']
497,nameko,Unavailable,['Unavailable']
498,sima,Unavailable,['GNU General Public License v2 or later (GPLv2+)']
499,vistir,sarugaku/vistir,['ISC License (ISCL)']
500,amcrest,Unavailable,['Unavailable']
501,pylint-runner,Unavailable,['MIT License']
502,aiohttp-security,aio-libs/aiohttp_security,['Apache Software License']
503,pyradiomics,Unavailable,['Unavailable']
504,dirq,cern-mig/python-dirq,['Apache Software License']
505,guppy,Unavailable,['MIT License']
506,simpledbf,rnelsonchem/simpledbf,['BSD License']
507,cfn-response,Unavailable,['BSD License']
508,radar,barseghyanartur/radar,"['GNU General Public License v2 (GPLv2)', 'GNU Lesser General Public License v2 or later (LGPLv2+)']"
509,micropipe,lpp1985/lpp_Script,['Unavailable']
510,tensorflow-transform,tensorflow/transform,['Apache Software License']
511,dictalchemy,Unavailable,['MIT License']
512,simpleitk,SimpleITK/SimpleITK,['Apache Software License']
513,appier-extras,Unavailable,['Apache Software License']
514,hitboxy,Unavailable,['Unavailable']
515,gcovr,gcovr/gcovr,['BSD License']
516,django-celery,Unavailable,['BSD License']
517,bernhard,Unavailable,['Apache Software License']
518,python-geohash,Unavailable,['Unavailable']
519,argopt,casperdcl/argopt,['Mozilla Public License 2.0 (MPL 2.0)']
520,djangorestframework-jsonapi,django-json-api/django-rest-framework-json-api,['BSD License']
521,omni-api,Unavailable,['Apache Software License']
522,django-supporttools,uw-it-aca/django-supporttools,['Apache Software License']
523,wdmtoolbox,timcera/wdmtoolbox,['BSD License']
524,segtok,fnl/segtok,['MIT License']
525,aloe,aloetesting/aloe,['GNU General Public License v3 or later (GPLv3+)']
526,ansicolor,numerodix/ansicolor,['Apache Software License']
527,wsme,Unavailable,['MIT License']
528,aliyun-python-sdk-core,aliyun/aliyun-openapi-python-sdk,['Apache Software License']
529,googleapis-artman,googleapis/artman,['Apache Software License']
530,argparsetree,wildfish/argparsetree,['BSD License']
531,sphinx,sphinx-doc/sphinx,['BSD License']
532,porridge,thusoy/porridge,['MIT License']
533,beaker,Unavailable,['BSD License']
534,pymodbustcp,sourceperl/pyModbusTCP,['Unavailable']
535,makesite,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
536,ufork,Unavailable,['BSD License']
537,django-rest-registration,apragacz/django-rest-registration,['MIT License']
538,duniterpy,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
539,pynliner3,Unavailable,['MIT License']
540,rest-social-auth,st4lk/django-rest-social-auth,['MIT License']
541,jdcal,phn/jdcal,['BSD License']
542,python-docs-theme,python/python-docs-theme,['Python Software Foundation License']
543,acora,Unavailable,['BSD License']
544,django-adminactions,saxix/django-adminactions,['Unavailable']
545,pam,Unavailable,['Unavailable']
546,f5-sphinx-theme,F5DevCentral/f5-sphinx-theme,['Apache Software License']
547,datalad,datalad/datalad,"['DFSG approved', 'MIT License']"
548,lalsuite,Unavailable,['GNU General Public License v2 or later (GPLv2+)']
549,pybullet,bulletphysics/bullet3,['zlib/libpng License']
550,ska,barseghyanartur/ska,"['GNU General Public License v2 (GPLv2)', 'GNU Lesser General Public License v2 or later (LGPLv2+)']"
551,kinesis-python,NerdWalletOSS/kinesis-python,['Apache Software License']
552,trafaret-config,Unavailable,"['Apache Software License', 'MIT License']"
553,tfp-nightly,Unavailable,['Apache Software License']
554,kconfiglib,ulfalizer/Kconfiglib,['ISC License (ISCL)']
555,treeherder-client,mozilla/treeherder,['Mozilla Public License 2.0 (MPL 2.0)']
556,aprslib,rossengeorgiev/aprs-python,['GNU General Public License v2 (GPLv2)']
557,marionette-client,Unavailable,['Mozilla Public License 2.0 (MPL 2.0)']
558,plone-app-testing,Unavailable,['GNU General Public License v2 (GPLv2)']
559,hermescache,Unavailable,['Unavailable']
560,pychromecast,balloob/pychromecast,['MIT License']
561,opcua-widgets,FreeOpcUa/opcua-widgets,['Unavailable']
562,geoparse,guma44/GEOparse,['BSD License']
563,purepng,scondo/purepng,['MIT License']
564,gapipy,gadventures/gapipy,['MIT License']
565,marketorestpython,jepcastelein/marketo-rest-python,['Unavailable']
566,azure-applicationinsights,Azure/azure-sdk-for-python,['MIT License']
567,hexagonit-recipe-download,Unavailable,['Zope Public License']
568,pyobjc-framework-avfoundation,ronaldoussoren/pyobjc,['MIT License']
569,nuplone,euphorie/NuPlone,['GNU General Public License (GPL)']
570,sphinx-jsondomain,dave-shawley/sphinx-jsondomain,['BSD License']
571,radical-pilot,radical-cybertools/radical.pilot,['MIT License']
572,xxhash,ifduyue/python-xxhash,['BSD License']
573,edx-django-sites-extensions,openedx/edx-django-sites-extensions,['GNU Affero General Public License v3']
574,pygerduty,dropbox/pygerduty,['Unavailable']
575,django-reversion-compare,jedie/django-reversion-compare,['Unavailable']
576,spur,mwilliamson/spur.py,['BSD License']
577,json-table-schema,Unavailable,['Unavailable']
578,appmode,Unavailable,['MIT License']
579,pydoop,Unavailable,['Apache Software License']
580,word2number,akshaynagpal/w2n,['MIT License']
581,google-cloud-happybase,googleapis/google-cloud-python-happybase,['Apache Software License']
582,patchy,adamchainz/patchy,['MIT License']
583,pynput,moses-palmer/pynput,['GNU Lesser General Public License v3 (LGPLv3)']
584,yelp-bytes,Yelp/yelp_bytes,['The Unlicense (Unlicense)']
585,module-wrapper,rominf/module-wrapper,['Apache Software License']
586,cogapp,Unavailable,['MIT License']
587,solvebio,solvebio/solvebio-python,['Unavailable']
588,djangorestframework-oauth,jpadilla/django-rest-framework-oauth,['BSD License']
589,bob-extension,Unavailable,['BSD License']
590,rsb-python,Unavailable,['GNU Library or Lesser General Public License (LGPL)']
591,bctpy,aestrivex/bctpy,['GNU General Public License v3 or later (GPLv3+)']
592,geobasesdev,Unavailable,['Free for non-commercial use']
593,delighted,Unavailable,['MIT License']
594,execnet,Unavailable,['MIT License']
595,setproctitle,dvarrazzo/py-setproctitle,['BSD License']
596,django-coverage,Unavailable,['Apache Software License']
597,vmware-nsxlib,Unavailable,['Apache Software License']
598,more-itertools,more-itertools/more-itertools,['MIT License']
599,caldav,python-caldav/caldav,"['Apache Software License', 'GNU General Public License (GPL)']"
600,openbrokerapi,eruvanos/openbrokerapi,['MIT License']
601,pycocoa,Unavailable,"['BSD License', 'MIT License']"
602,pyboto3,wavycloud/pyboto3,['Unavailable']
603,pyscipopt,SCIP-Interfaces/PySCIPOpt,['MIT License']
604,sceptre,Sceptre/sceptre,['Apache Software License']
605,countrynames,Unavailable,['MIT License']
606,m3u8,globocom/m3u8,['Unavailable']
607,django-flat-theme,elky/django-flat-theme,['BSD License']
608,function-shield,puresec/FunctionShield,['Unavailable']
609,django-encrypted-filefield,danielquinn/django-encrypted-filefield,['GNU General Public License v3 or later (GPLv3+)']
610,exec-helpers,python-useful-helpers/exec-helpers,['Apache Software License']
611,mattermostwrapper,Unavailable,['Unavailable']
612,lapdog,broadinstitute/lapdog,['MIT License']
613,psims,mobiusklein/psims,['Apache Software License']
614,idstools,jasonish/py-idstools,['BSD License']
615,pymoose,Unavailable,['Unavailable']
616,rio-mucho,mapbox/rio-mucho,['Unavailable']
617,construct,construct/construct,['MIT License']
618,codespell,codespell-project/codespell,['OSI Approved']
619,jinja2-highlight,tlatsas/jinja2-highlight,['GNU General Public License v3 (GPLv3)']
620,stashy,cosmin/stashy,['Apache Software License']
621,dedupe-hcluster,datamade/hcluster,['BSD License']
622,python-statemachine,fgmacedo/python-statemachine,['MIT License']
623,robot-detection,rory/robot-detection,['GNU General Public License v3 or later (GPLv3+)']
624,redisgraph,RedisGraph/redisgraph-py,['BSD License']
625,sphinxcontrib-confluencebuilder,sphinx-contrib/confluencebuilder,['BSD License']
626,matplotlib,matplotlib/matplotlib,['Python Software Foundation License']
627,dicomweb-client,ImagingDataCommons/dicomweb-client,['MIT License']
628,word2vec,danielfrg/word2vec,['Apache Software License']
629,sphinxcontrib-redoc,ikalnytskyi/sphinxcontrib-redoc,['BSD License']
630,toga,beeware/toga,['BSD License']
631,django-ipware,un33k/django-ipware,['MIT License']
632,gmqtt,wialon/gmqtt,['MIT License']
633,taskgraph,natcap/taskgraph,['BSD License']
634,python-nmap,Unavailable,['GNU General Public License (GPL)']
635,wfuzz,Unavailable,['GNU General Public License v2 (GPLv2)']
636,django-admin-views,koleror/django-admin-views,['BSD License']
637,django-jstemplate,mjumbewu/django-jstemplate,['BSD License']
638,fastnumbers,SethMMorton/fastnumbers,['MIT License']
639,pyobjc-framework-businesschat,ronaldoussoren/pyobjc,['MIT License']
640,afb,Unavailable,['Apache Software License']
641,pyhdust,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
642,needle,python-needle/needle,['BSD License']
643,ddbscan,cloudwalkio/ddbscan,['MIT License']
644,niapy,NiaOrg/NiaPy,['MIT License']
645,statik,Unavailable,['MIT License']
646,multipart,defnull/multipart,['MIT License']
647,hass-apps,efficiosoft/hass-apps,['Unavailable']
648,sisaptools,sisap-ics/sisaptools,['MIT License']
649,s-tui,amanusk/s-tui,['GNU General Public License v2 (GPLv2)']
650,jstyleson,linjackson78/jstyleson,['MIT License']
651,jack-client,Unavailable,['MIT License']
652,plone-i18n,plone/plone.i18n,['GNU General Public License v2 (GPLv2)']
653,version,Unavailable,['Unavailable']
654,pandas-ml,Unavailable,['Unavailable']
655,cacheman,MSeal/py_cache_manager,['BSD License']
656,flask-failsafe,Unavailable,['Unavailable']
657,zoomus,prschmid/zoomus,['Apache Software License']
658,tqdm,tqdm/tqdm,"['MIT License', 'Mozilla Public License 2.0 (MPL 2.0)']"
659,pandoc-xnos,tomduck/pandoc-xnos,['GNU General Public License v3 (GPLv3)']
660,gtts,pndurette/gTTS,['MIT License']
661,aliyun-python-sdk-iot,Unavailable,['Apache Software License']
662,wait-for,RedHatQE/wait_for,['Unavailable']
663,django-celery-transactions,fellowshipofone/django-celery-transactions,['BSD License']
664,sigopt,Unavailable,['MIT License']
665,python-magic-bin,Unavailable,['MIT License']
666,kubernetes-py,mnubo/kubernetes-py,['Apache Software License']
667,box2d-kengz,Unavailable,['zlib/libpng License']
668,flask-redis,underyx/flask-redis,['Unavailable']
669,broshelp,KayShenA/PythonProjects,['Unavailable']
670,django-admin-steroids,Unavailable,['GNU Lesser General Public License v3 (LGPLv3)']
671,django-image-cropping,jonasundderwolf/django-image-cropping,['BSD License']
672,asgi-redis,Unavailable,['Unavailable']
673,matador,Unavailable,['MIT License']
674,instalooter,althonos/instalooter,['GNU General Public License v3 or later (GPLv3+)']
675,findiff,maroba/findiff,['MIT License']
676,pyattyscomm,glasgowneuro/attys-comm,['Unavailable']
677,pyfaidx,mdshw5/pyfaidx,['BSD License']
678,plone-dexterity,plone/plone.dexterity,['GNU General Public License v2 (GPLv2)']
679,sumy,miso-belica/sumy,['Apache Software License']
680,pantsbuild-pants,pantsbuild/pants,['Apache Software License']
681,zeep,mvantellingen/python-zeep,['MIT License']
682,cached-property,pydanny/cached-property,['BSD License']
683,pinax-eventlog,Unavailable,['MIT License']
684,zxcvbn-python,dwolfhub/zxcvbn-python,['MIT License']
685,sqlalchemy-exasol,exasol/sqlalchemy-exasol,['Other/Proprietary License']
686,django-appconf,django-compressor/django-appconf,['BSD License']
687,cfgv,asottile/cfgv,['MIT License']
688,fastgenomics,Unavailable,['Unavailable']
689,sagemaker-containers,aws/sagemaker-containers,['Apache Software License']
690,ddlparse,Unavailable,['BSD License']
691,datarobot-batch-scoring,Unavailable,['Apache Software License']
692,django-tabbed-admin,Unavailable,['BSD License']
693,geomdl,orbingol/NURBS-Python,['MIT License']
694,pytest-env,pytest-dev/pytest-env,['MIT License']
695,flask-logconfig,dgilland/flask-logconfig,['MIT License']
696,mkl,Unavailable,['Other/Proprietary License']
697,zope-traversing,zopefoundation/zope.traversing,['Zope Public License']
698,utils,Unavailable,['GNU Lesser General Public License v3 or later (LGPLv3+)']
699,dask,dask/dask,['BSD License']
700,giraffez,capitalone/giraffez,['Apache Software License']
701,django-herald,worthwhile/django-herald,['MIT License']
702,django-pivot,martsberger/django-pivot,['MIT License']
703,sql,Unavailable,['BSD License']
704,cfblog,Coverfox/cfblog,['BSD License']
705,pgzero,Unavailable,['GNU Lesser General Public License v3 (LGPLv3)']
706,flask-helper,meisanggou/Flask-Helper,['Unavailable']
707,mglearn,amueller/introduction_to_ml_with_python,['Unavailable']
708,allianceauth,Unavailable,['GNU General Public License v2 (GPLv2)']
709,typogrify,mintchaos/typogrify,['BSD License']
710,tchannel,uber/tchannel-python,['MIT License']
711,bigquery-python,tylertreat/BigQuery-Python,['Unavailable']
712,gseapy,Unavailable,['MIT License']
713,enerdata,Unavailable,['Unavailable']
714,essential-generators,shane-mason/essential-document-generator,['MIT License']
715,feedfinder2,dfm/feedfinder2,['MIT License']
716,delegator-py,kennethreitz/delegator,['Unavailable']
717,monthdelta,Unavailable,['Python Software Foundation License']
718,django-taggit-serializer,glemmaPaul/django-taggit-serializer,['BSD License']
719,iotile-analytics-core,iotile/typedargs,['GNU Library or Lesser General Public License (LGPL)']
720,passivetotal,passivetotal/python_api,['Unavailable']
721,trufflehog,dxa4481/truffleHog,['Unavailable']
722,openfisca-france,openfisca/openfisca-france,['GNU Affero General Public License v3']
723,ebs-iot-linuxnode,Unavailable,['GNU General Public License v3 or later (GPLv3+)']
724,flask-allows,justanr/flask-allows,['MIT License']
725,random-name,phobologic/random_name,['BSD License']
726,djangocms-attributes-field,django-cms/djangocms-attributes-field,['BSD License']
727,rlp,ethereum/pyrlp,['MIT License']
728,nuitka,Nuitka/Nuitka,['Apache Software License']
729,mingus,bspaans/python-mingus,['GNU General Public License (GPL)']
730,oktopus,mirca/oktopus,['MIT License']
731,genie,Unavailable,['Apache Software License']
732,python-openid,Unavailable,['Apache Software License']
733,react,markfinger/python-react,['Unavailable']
734,hy,hylang/hy,"['DFSG approved', 'MIT License']"
735,aiohttp-apispec,maximdanilchenko/aiohttp-apispec,['MIT License']
736,plone-namedfile,Unavailable,['BSD License']
737,dopy,devo-ps/dopy,['Unavailable']
738,django-categories,Unavailable,['Unavailable']
739,buildbot-worker,Unavailable,['GNU General Public License v2 (GPLv2)']
740,antlr4-python2-runtime,Unavailable,['Unavailable']
741,taxii2-client,oasis-open/cti-taxii-client,['BSD License']
742,pyobjc-framework-intents,ronaldoussoren/pyobjc,['MIT License']
743,vici,Unavailable,['MIT License']
744,python-keyczar,Unavailable,['Apache Software License']
745,django-pagetree,ccnmtl/django-pagetree,['Unavailable']
746,django-xmlrpc,Fantomas42/django-xmlrpc,['Unavailable']
747,apns-client,Unavailable,['Apache Software License']
748,pytest-docstyle,henry0312/pytest-docstyle,['MIT License']
749,py2-ipaddress,kwi-dk/py2-ipaddress,['Python Software Foundation License']
750,python-jsonrpc,gerold-penz/python-jsonrpc,"['GNU Library or Lesser General Public License (LGPL)', 'MIT License']"
751,modoboa-sievefilters,Unavailable,['MIT License']
752,tcconfig,thombashi/tcconfig,['MIT License']
753,robotkernel,robots-from-jupyter/robotkernel,['BSD License']
754,couchdbkit,Unavailable,['Apache Software License']
755,ipyaggrid,widgetti/ipyaggrid,['MIT License']
756,django-nimbus-api,Unavailable,['Apache Software License']
757,bunch,Unavailable,['MIT License']
758,geocoder,DenisCarriere/geocoder,['Apache Software License']
759,brain-isotopic-distribution,mobiusklein/brainpy,['Apache Software License']
760,arivo-om,Unavailable,['Unavailable']
761,pyjarowinkler,nap/jaro-winkler-distance,['Apache Software License']
762,aioprometheus,claws/aioprometheus,['MIT License']
763,jupyter-tensorboard,Unavailable,['MIT License']
764,imgix,imgix/imgix-python,['MIT License']
765,memoize,sionide21/memoize,['MIT License']
766,backports-shutil-which,minrk/backports.shutil_which,['Python Software Foundation License']
767,appdaemon,Unavailable,['Apache Software License']
768,django-private-storage,edoburu/django-private-storage,['Apache Software License']
