,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
237,WattTime/pyiso,True,2,5.0,0.0,12.0,69.0,2.0,3.0,3
238,WattTime/pyiso,True,3,5.0,0.0,11.0,48.0,3.0,3.0,3
239,WattTime/pyiso,True,4,5.0,0.0,19.0,44.0,7.0,8.0,5
240,WattTime/pyiso,True,5,5.0,0.0,0.0,3.0,3.0,4.0,3
241,WattTime/pyiso,True,6,5.0,0.0,0.0,1.0,0.0,0.0,1
242,WoLpH/python-utils,True,12,16.0,1.0,0.0,4.0,0.0,0.0,3
243,WoLpH/python-utils,True,13,16.0,1.0,1.0,33.0,16.0,31.0,12
244,WoLpH/python-utils,True,14,16.0,1.0,1.0,33.0,15.0,36.0,6
245,WoLpH/python-utils,True,15,16.0,1.0,2.0,83.0,8.0,21.0,5
246,Z3Prover/z3,False,10,14.0,0.0,50.0,94.0,158.0,262.0,116
247,Z3Prover/z3,False,11,14.0,0.0,83.0,889.0,327.0,526.0,120
248,Z3Prover/z3,False,12,14.0,0.0,42.0,96.0,156.0,284.0,104
249,Z3Prover/z3,False,13,14.0,0.0,94.0,174.0,109.0,188.0,87
250,Z3Prover/z3,False,14,14.0,0.0,38.0,158.0,69.0,124.0,44
251,Z3Prover/z3,False,15,14.0,0.0,14.0,84.0,58.0,122.0,36
252,Z3Prover/z3,False,16,14.0,0.0,42.0,381.0,46.0,76.0,30
253,Z3Prover/z3,False,17,14.0,0.0,17.0,304.0,20.0,40.0,19
254,Z3Prover/z3,True,10,14.0,0.0,20.0,568.0,361.0,587.0,15
255,Z3Prover/z3,True,11,14.0,0.0,52.0,1373.0,1191.0,1589.0,17
256,Z3Prover/z3,True,12,14.0,0.0,31.0,502.0,307.0,540.0,14
257,Z3Prover/z3,True,13,14.0,0.0,17.0,769.0,303.0,653.0,13
258,Z3Prover/z3,True,14,14.0,0.0,7.0,795.0,227.0,481.0,10
259,Z3Prover/z3,True,15,14.0,0.0,7.0,606.0,203.0,389.0,8
260,Z3Prover/z3,True,16,14.0,0.0,3.0,774.0,170.0,324.0,6
261,Z3Prover/z3,True,17,14.0,0.0,1.0,385.0,126.0,184.0,6
262,agoragames/haigha,False,3,4.0,1.0,1.0,1.0,1.0,7.0,1
263,agoragames/haigha,False,4,4.0,1.0,0.0,0.0,0.0,0.0,1
264,agoragames/haigha,True,1,4.0,1.0,5.0,18.0,3.0,6.0,4
265,agoragames/haigha,True,2,4.0,1.0,1.0,3.0,2.0,8.0,4
266,agoragames/haigha,True,3,4.0,1.0,3.0,7.0,6.0,11.0,2
267,agoragames/haigha,True,5,4.0,1.0,0.0,0.0,1.0,1.0,1
268,aio-libs/aiorwlock,False,10,14.0,1.0,5.0,10.0,0.0,0.0,1
