dataset,rolling,category,outcome,normalize,method,covar,split_value,event_time,estimate,sd,ci_low,ci_high
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,5,-0.76043805427592,0.322996682498614,-1.3935115519732,-0.127364556578637
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,6,-0.610850869070159,0.466988044866251,-1.52614743700801,0.304445698867694
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,7,-1.21526656033633,0.312036042988296,-1.82685720459339,-0.60367591607927
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,8,-1.29311887273059,0.387390847546148,-2.05240493392104,-0.533832811540145
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,9,-1.26594889996861,0.384855480005888,-2.02026564078015,-0.511632159157067
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,10,-1.8154288437264,0.433035961230973,-2.66417932773911,-0.966678359713697
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,11,-1.23718194208543,0.590366849618099,-2.3943009673369,-0.0800629168339555
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,12,-1.69898300542658,0.525221059213493,-2.72841628148502,-0.669549729368131
important_topk_exact1,rolling5,github_outcomes,pull_request_opened,TRUE,sa,avg_members_per_problem,0,13,-1.62273444912053,0.662275206401525,-2.92079385366752,-0.324675044573544
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,1,-14,-1.46670340916988,0.756909014373614,-2.95024507734216,0.0168382590024008
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,1,-13,-0.519838708687216,0.7461988498648,-1.98238845442222,0.942711037047791
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,1,-12,0.0410366798874803,0.61387980399479,-1.16216773594231,1.24424109571727
important_topk_exact1,rolling5,github_outcomes,pull_request_merged,TRUE,sa,avg_members_per_problem,1,-11,0.204469929126241,0.55892985720799,-0.891032591001419,1.2999724492539
